Latitude,Longitude,Province,Area,Perimeter,urban,Prefecture,County,geometry
32.8464,111.932,Henan,0.341729164449,3.39567989837,0,Nanyang,Deng,"POLYGON Z ((111.9278386237424 32.8489644979561 0, 111.9294555699817 32.84896449758466 0, 111.9294555743977 32.84923398991383 0, 111.9332285120638 32.84923399008169 0, 111.9332285157247 32.84896449832176 0, 111.9340369952845 32.84896449523898 0, 111.9340369994761 32.8484255089822 0, 111.9345759846212 32.84842550643926 0, 111.934967039647 32.84849366633743 0, 111.935689347506 32.84792720424713 0, 111.9366463809847 32.84675578339001 0, 111.936731942504 32.84626954705419 0, 111.9369711459294 32.84616201698774 0, 111.9370014374482 32.84492207510169 0, 111.9370014360747 32.84411357956894 0, 111.9368611684976 32.84282125366923 0, 111.9353215049337 32.84284810542844 0, 111.9351767658429 32.84304016397067 0, 111.9348454612817 32.84303560814162 0, 111.9337506726824 32.84310427464566 0, 111.9337674849811 32.84384408840338 0, 111.9337674874216 32.8451915706807 0, 111.9340369780921 32.84519157440252 0, 111.9340369775018 32.84546104981375 0, 111.933767487392 32.8454610526608 0, 111.933767483301 32.84626953414843 0, 111.93349799279 32.84626953781865 0, 111.9329590158753 32.84626953627668 0, 111.9321505201837 32.84626953800152 0, 111.9321505152444 32.84653902908955 0, 111.931611530688 32.84653903307072 0, 111.9316115257779 32.84680852282976 0, 111.9313420545039 32.8468085229478 0, 111.9313420497954 32.84653903283269 0, 111.9302640586534 32.84653903333921 0, 111.9302640533712 32.84680852334775 0, 111.9283775955501 32.84680852611123 0, 111.9283775907175 32.84707801832474 0, 111.9272996174684 32.84707802086556 0, 111.9272996131189 32.84761700716035 0, 111.9270301229305 32.84761701088964 0, 111.9270301175277 32.84788650186548 0, 111.9267606289878 32.84788650641811 0, 111.9267606239543 32.84842549095209 0, 111.9264911343051 32.84842549400778 0, 111.9264911346229 32.84923399018871 0, 111.9278386195333 32.84923398974978 0, 111.9278386237424 32.8489644979561 0))"
31.9221,115.924,Henan,0.0027719900419,0.321834529387,0,Xinyang,Gushi,"POLYGON Z ((115.9150422709531 31.91489625184041 0, 115.9150109965847 31.91489625237687 0, 115.9150109973119 31.91570474595643 0, 115.9152804868446 31.91570474875277 0, 115.91528049119 31.91597424080748 0, 115.9156048538873 31.91597424287649 0, 115.9150422709531 31.91489625184041 0))"
32.4761,115.449,Henan,0.0711677241493,1.63673446175,1,Xinyang,Huaibin,"POLYGON Z ((115.4498633552854 32.47706196731033 0, 115.4498633587022 32.47679247565983 0, 115.4501328324925 32.47679247609388 0, 115.4501328357184 32.47706196688232 0, 115.4506718383309 32.47706196654659 0, 115.4506718378014 32.47625347325241 0, 115.4506718397123 32.47571449244425 0, 115.450671837997 32.47517549422761 0, 115.4490548578987 32.47517549366015 0, 115.4490548544983 32.47652296310098 0, 115.4482463801766 32.47652296318909 0, 115.4479768957437 32.47652296334577 0, 115.4479768960631 32.47598399232692 0, 115.4482463869832 32.47598398915826 0, 115.4482463871292 32.47517549383948 0, 115.4471683965239 32.47517549394411 0, 115.4468989124459 32.4751754918282 0, 115.4463599126191 32.47517549425177 0, 115.4463599120461 32.47598398891685 0, 115.4463599083228 32.47679246667093 0, 115.4463599118649 32.47706196716521 0, 115.4482463797342 32.47706197030146 0, 115.4490548635413 32.47706196969607 0, 115.4498633552854 32.47706196731033 0))"
32.485,115.43,Henan,0.146944061525,1.74897080847,1,Xinyang,Huaibin,"POLYGON Z ((115.4328156529648 32.48461676722186 0, 115.4326893504463 32.48304164723533 0, 115.4276751536854 32.48333416516486 0, 115.4277942508777 32.48493115927496 0, 115.4285363823853 32.48496820328744 0, 115.4287177318482 32.48731354116406 0, 115.4315477114008 32.48641210797535 0, 115.43142707551 32.48480570823545 0, 115.4328156529648 32.48461676722186 0))"
32.4639,115.436,Henan,0.118157054602,1.66749130003,1,Xinyang,Huaibin,"POLYGON Z ((115.4388600565187 32.46339395390011 0, 115.4388443090367 32.46258966815748 0, 115.4377554724787 32.46257868210355 0, 115.4377032170776 32.46214289699706 0, 115.4371547134495 32.46218019002945 0, 115.4371145965504 32.46255315118972 0, 115.4364954116317 32.46260065403573 0, 115.4365044554036 32.46220064131403 0, 115.4363101044019 32.46218018597909 0, 115.4358719043708 32.4622314555896 0, 115.4353106404103 32.46223975034906 0, 115.4347716499195 32.46223975002763 0, 115.4342290194724 32.46234948106166 0, 115.4343215934954 32.46414367714662 0, 115.4343449196153 32.46472315328577 0, 115.4344624172965 32.46568256518894 0, 115.4355801362399 32.46574319788727 0, 115.4371718569324 32.46557640342583 0, 115.4371777345718 32.46354284014087 0, 115.4388600565187 32.46339395390011 0))"
32.291,115.807,Henan,0.0162981692446,0.554750138842,0,Xinyang,Gushi,"POLYGON Z ((115.8082841664914 32.29041890391103 0, 115.807667763424 32.29040382223405 0, 115.806135180669 32.29111069297529 0, 115.806078258387 32.29163351736573 0, 115.806843811039 32.29166591172502 0, 115.8083789624169 32.29073698774879 0, 115.8082841664914 32.29041890391103 0))"
31.82,114.811,Henan,0.0114370864795,0.447098217738,0,Xinyang,Guangshan,"POLYGON Z ((114.8114306819106 31.81949516776037 0, 114.810352691043 31.81949516766516 0, 114.8103526912951 31.82030366325964 0, 114.810622180764 31.82030366642795 0, 114.8106221851708 31.82057315830103 0, 114.811430681585 31.82057315824188 0, 114.8114306819106 31.81949516776037 0))"
31.8176,114.818,Henan,0.0662098862563,1.33120894944,0,Xinyang,Guangshan,"POLYGON Z ((114.8208629969471 31.81733920823356 0, 114.8208629924995 31.81706971718373 0, 114.8200544961519 31.81706971693717 0, 114.8200544917701 31.81733920800539 0, 114.8195155135819 31.81733920817618 0, 114.8173595572953 31.81706971332788 0, 114.8170900722515 31.81706971292331 0, 114.8170900682805 31.81680022282863 0, 114.8157425822485 31.81680022254983 0, 114.8157425820484 31.81814770574267 0, 114.8176290499655 31.8181477086512 0, 114.8195155125492 31.8184172039586 0, 114.8210201626699 31.81843228674428 0, 114.8211324873092 31.81733921234414 0, 114.8208629969471 31.81733920823356 0))"
31.8217,114.823,Henan,0.145214204967,1.8534914723,0,Xinyang,Guangshan,"POLYGON Z ((114.8243664221546 31.82407658732241 0, 114.8243664264225 31.82299861191862 0, 114.8249054108094 31.82299860873104 0, 114.824905414521 31.82245962304074 0, 114.8251749057023 31.82245962005602 0, 114.8251749062287 31.82084264094487 0, 114.8249054145706 31.82084263722705 0, 114.8249054115307 31.82057314590961 0, 114.8240969322722 31.82057314283971 0, 114.8240969275606 31.82030365113751 0, 114.8238274374855 31.82030364787487 0, 114.8238274370023 31.82003417166917 0, 114.8240969278208 31.82003416869475 0, 114.8240969283228 31.81922567305356 0, 114.8238274364669 31.81922566980958 0, 114.8238274329908 31.81895617774793 0, 114.8230842526365 31.81923583314241 0, 114.8221305955991 31.81998745512094 0, 114.8221534593594 31.82105180372566 0, 114.8214019691301 31.82111213619233 0, 114.8214019690167 31.82353759832879 0, 114.8216714590768 31.82353760060901 0, 114.8216714627914 31.82380709339284 0, 114.821940954087 31.82380709594973 0, 114.8219409583519 31.82407658685949 0, 114.8227494548942 31.82407658662128 0, 114.8235579251052 31.82407658716005 0, 114.8243664221546 31.82407658732241 0))"
35.1054,113.698,Henan,0.0514233214446,1.21782567294,1,Xinxiang,Houjia,"POLYGON Z ((113.6973400670419 35.10409517322464 0, 113.6965315704896 35.10409517270995 0, 113.6965315703743 35.10571215189054 0, 113.6973400490885 35.10571215482118 0, 113.6973400543458 35.10598164576815 0, 113.6981485315242 35.10598164893354 0, 113.698148536687 35.10625114097297 0, 113.6989570158468 35.10625114390325 0, 113.6989570206895 35.10652063622211 0, 113.7003045072338 35.10652063574854 0, 113.7003045071052 35.10571214066707 0, 113.7000350170223 35.10571213703211 0, 113.7000350132839 35.10544264595466 0, 113.6992265332502 35.10544264214171 0, 113.6992265294175 35.10517315215672 0, 113.6989570381747 35.10517314775411 0, 113.6989570340095 35.10490365692205 0, 113.698148553518 35.10490365293218 0, 113.6981485502049 35.10463416222288 0, 113.6978790603726 35.10463415755239 0, 113.6978790560063 35.10436466777896 0, 113.6973400706752 35.10436466384522 0, 113.6973400670419 35.10409517322464 0))"
